Keyword,Intent,Relevance,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
johns mbti test,Informational,36,140,"0.42,0.42,1.00,0.53,0.42,0.42,0.53,0.42,0.42,0.35,0.42,0.35",23,0.00,0.01,"Sitelinks, Video, People also ask, Related searches"
johns test mbti,Informational,33,140,"0.53,0.66,0.81,1.00,0.81,0.53,0.53,0.66,0.43,0.43,0.53,0.53",19,1.75,0.02,"Sitelinks, Reviews, Video, People also ask, Related searches"
judge mbti,Informational,45,140,"0.82,0.82,0.52,0.41,0.82,1.00,1.00,0.64,0.82,0.82,1.00,1.00",8,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
kurttype5,Informational,62,140,"0.66,0.82,1.00,0.66,0.66,0.66,0.66,0.52,0.66,0.43,0.52,0.82",10,0.00,0.33,
list of enneagram types,Informational,71,140,"0.52,0.65,1.00,0.65,0.52,0.65,0.52,0.82,1.00,0.40,0.82,0.65",33,0.30,0.23,"Sitelinks, AI Overview, Video, People also ask, Related searches"
loyalist enneagram,Informational,58,140,"0.04,0.33,0.54,0.41,1.00,0.33,0.26,0.19,0.26,1.00,1.00,1.00",18,0.18,0.05,"AI Overview, Video, Short videos, People also ask, Discussions and forums, Related searches"
mbte,Informational,45,140,"0.71,0.57,0.71,0.71,0.71,1.00,0.71,0.71,1.00,0.57,0.71,0.57",16,1.80,0.02,"AI Overview, Image pack, Video, People also ask, Related searches"
mbti architecture,Informational,38,140,"0.66,1.00,0.53,0.34,0.44,0.66,0.00,0.00,0.81,0.66,0.81,0.00",21,0.01,0.01,"Sitelinks, AI Overview, Video, People also ask, Related searches"
mbti artist,Informational,45,140,"0.66,0.81,0.66,1.00,0.81,0.53,0.66,0.53,0.53,0.66,0.53,0.66",28,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
mbti autistic,Informational,33,140,"1.00,0.81,0.81,0.40,0.81,0.81,0.81,0.81,1.00,0.64,0.81,1.00",14,0.00,0.01,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
mbti cognitive function test,Commercial,36,140,"0.44,0.36,0.36,0.44,0.00,0.28,0.03,0.22,0.00,1.00,0.03,0.22",3,0.35,0.17,"Sitelinks, Image pack, Video, Discussions and forums, Related searches"
mbti debater,Informational,36,140,"1.00,1.00,0.81,1.00,0.81,0.81,0.65,0.40,0.65,0.65,0.81,0.81",26,0.00,0.01,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Short videos, People also ask, Related searches"
mbti iq,Informational,37,140,"1.00,0.64,0.81,1.00,0.81,0.81,0.81,0.81,0.64,0.81,0.64,0.64",23,0.00,0.01,"Sitelinks, AI Overview, Reviews, Image pack, Video, Video carousel, People also ask, Related searches"
mbti judge,Informational,36,140,"0.82,0.82,0.52,0.41,0.82,1.00,1.00,0.64,0.82,0.82,1.00,1.00",29,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
mbti judging,Informational,37,140,"0.26,0.26,0.26,0.65,1.00,0.80,0.65,0.42,0.34,0.34,0.42,0.42",30,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Short videos, People also ask, Related searches"
mbti meaning letters,Informational,41,140,"0.63,0.83,1.00,0.83,1.00,1.00,0.63,0.63,0.63,0.63,0.63,0.83",17,0.00,0.33,"Sitelinks, AI Overview, Video, People also ask, Related searches"
mbti of famous people,Informational,33,140,"1.00,0.26,0.53,0.42,0.26,0.53,0.34,0.53,0.42,0.42,0.42,0.53",14,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
mbti oracle,"Informational, Navigational",45,140,"1.00,0.28,0.64,0.81,0.42,0.42,0.28,0.19,0.28,0.42,0.28,0.28",0,0.00,0.33,"Sitelinks, Image pack, Video, People also ask, Related searches"
mbti personality database,Navigational,37,140,"0.54,0.42,0.54,0.35,0.27,0.54,0.54,1.00,0.35,0.54,0.42,0.54",28,0.00,0.33,"Sitelinks, Video, People also ask, Related searches"
mbti population percentages,Informational,45,140,"0.53,0.66,0.53,0.43,0.14,0.81,1.00,0.43,1.00,0.81,1.00,0.43",23,0.00,0.33,"Sitelinks, AI Overview, Reviews, Image, Image pack, Video, People also ask, Related searches"
mbti test cognitive functions,Commercial,36,140,"0.28,0.05,0.28,0.28,0.05,0.28,0.18,0.18,1.00,0.67,0.82,0.23",10,0.35,0.17,"Sitelinks, Video, People also ask, Discussions and forums, Related searches"
mbti tier list,"Informational, Transactional",36,140,"0.53,0.66,0.81,1.00,1.00,0.53,0.66,0.66,0.66,0.66,0.53,0.53",24,0.00,0.33,"Sitelinks, Image pack, Video, Video carousel, People also ask, Related searches"
mbti とは,Informational,45,140,"0.53,0.53,0.81,1.00,0.66,0.53,0.66,0.43,0.66,0.53,0.43,0.53",20,0.33,0.03,"AI Overview, Video, People also ask, Related searches"
mbti 測驗,Informational,35,140,"0.42,0.42,0.65,0.53,0.53,0.53,0.42,1.00,0.35,0.42,0.53,0.42",32,0.84,0.17,"Video, People also ask, Related searches"
mbti 뜻,Informational,34,140,"0.80,0.80,0.80,0.80,0.80,0.66,1.00,0.66,0.66,0.43,0.51,0.43",12,0.00,0.33,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
most common mbtis,Informational,33,140,"0.52,0.66,0.52,0.66,0.52,0.52,0.52,0.52,0.80,0.52,0.80,1.00",19,0.00,0.33,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches"
most patient mbti,Informational,36,140,"0.52,0.52,0.09,0.09,0.52,0.52,0.52,0.66,0.80,0.66,1.00,1.00",13,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
most rare myers briggs,Informational,58,140,"0.81,0.81,0.81,1.00,0.81,0.81,0.67,0.67,0.51,0.33,0.42,0.42",28,0.00,0.01,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Short videos, People also ask, Related searches"
most reliable mbti test,Informational,42,140,"0.53,0.43,0.23,0.35,0.53,0.23,0.28,0.28,0.28,0.23,1.00,0.28",22,1.00,0.16,"Sitelinks, Video, People also ask, Related searches"
my type test,Informational,52,140,"0.81,0.81,1.00,0.50,0.19,0.81,1.00,0.81,0.63,0.31,0.31,0.81",26,0.24,0.07,"Video, Related searches"
myers and briggs personality test pdf,Informational,32,140,"0.42,0.42,0.19,0.42,0.34,0.34,0.34,0.65,0.65,0.42,1.00,1.00",15,1.05,0.08,"AI Overview, Reviews, Related searches"
myers briggs enneagram correlation,Informational,44,140,"1.00,0.66,1.00,0.66,0.66,0.66,0.52,0.33,0.42,0.42,0.42,0.80",16,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, Related searches"
myers briggs examen en espanol,Informational,38,140,"1.00,0.80,0.42,0.33,0.52,0.66,0.66,0.52,0.80,0.52,0.66,0.80",22,0.53,0.30,"AI Overview, Reviews, Video, Video carousel, People also ask, Related searches"
myers briggs personality test pdf,Informational,52,140,"0.02,0.18,0.22,0.18,0.29,0.22,0.14,0.35,0.54,0.54,0.66,1.00",18,1.11,0.06,"Image pack, Related searches"
myers briggs test en espanol,"Informational, Transactional",45,140,"1.00,0.80,0.42,0.33,0.52,0.66,0.66,0.52,0.80,0.52,0.66,0.80",29,0.55,0.29,"AI Overview, Video, Video carousel, People also ask, Related searches"
myers briggs test introvert,Informational,39,140,"1.00,0.35,0.17,0.17,0.35,0.28,0.35,0.28,0.28,0.28,0.43,0.35",24,0.58,0.02,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
myers briggs test sensing,"Informational, Commercial",41,140,"0.83,0.83,0.53,0.41,0.83,0.83,1.00,0.83,1.00,0.83,0.83,0.83",20,0.00,0.33,"Sitelinks, AI Overview, Video, People also ask, Related searches"
myers briggs the debater,Informational,39,140,"0.82,0.64,0.64,1.00,1.00,1.00,0.82,0.64,0.82,0.82,0.82,0.64",30,0.00,0.01,"Image pack, Video, Video carousel, Short videos, People also ask, Related searches"
myers briggs type indicator estj,Informational,42,140,"1.00,0.53,0.43,0.36,0.81,0.27,0.12,0.17,0.12,0.12,0.22,0.67",26,0.06,0.03,"AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches"
myers briggs type indicator intp,Informational,43,140,"0.80,1.00,0.43,0.80,1.00,0.43,0.31,0.66,0.43,0.43,0.80,0.31",31,0.11,0.03,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches"
n in mbti,Informational,36,140,"0.82,1.00,1.00,1.00,0.82,1.00,0.82,0.65,0.82,0.82,1.00,0.82",19,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
ne mbti,Informational,45,140,"0.81,0.81,0.81,0.81,0.65,0.65,0.81,0.65,0.81,0.65,1.00,0.81",19,0.00,0.33,"Sitelinks, Image pack, Video, Video carousel, People also ask"
ni mbti,Informational,45,140,"0.65,1.00,0.65,1.00,1.00,0.65,0.65,0.65,0.81,0.81,1.00,1.00",25,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
number 2 enneagram,Informational,58,140,"0.42,0.34,0.42,1.00,0.65,0.53,0.42,0.42,0.65,0.53,0.53,0.42",28,0.35,0.08,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches"
number 4 enneagram,Informational,61,140,"0.66,0.52,0.52,1.00,0.80,0.66,0.52,0.52,0.80,0.66,0.52,0.66",22,0.30,0.05,"Sitelinks, AI Overview, Video, People also ask, Related searches"
number 6 enneagram,Informational,60,140,"0.66,0.52,0.52,1.00,0.80,0.80,0.42,0.42,0.80,0.52,0.66,0.66",24,0.15,0.03,"Image pack, Video, People also ask, Related searches"
number 7 enneagram,Informational,60,140,"0.66,0.52,0.52,1.00,0.80,1.00,0.52,0.52,1.00,0.66,0.66,0.66",15,0.28,0.04,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
opposite of intj,Informational,35,140,"0.65,0.65,0.83,1.00,0.65,0.65,0.65,0.65,0.83,0.65,0.65,0.83",16,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
origin of enneagram,Informational,56,140,"0.40,0.40,0.65,0.65,0.80,1.00,0.50,0.40,0.40,0.40,0.40,0.50",20,0.03,0.03,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Ads bottom, Ads middle"
p in mbti,Informational,39,140,"0.83,1.00,0.83,1.00,0.83,0.83,0.83,0.65,0.65,0.83,1.00,0.83",32,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
pdf myers briggs personality test,Informational,33,140,"0.18,0.22,0.08,0.14,0.18,0.18,0.14,0.35,0.54,0.54,0.81,1.00",23,1.11,0.06,Video
peacemaker enneagram,Informational,53,140,"0.11,0.20,0.43,0.33,0.43,0.28,0.43,0.33,1.00,0.65,0.65,0.02",18,0.14,0.07,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches, Things to know"
people with enfp,Informational,44,140,"0.66,0.32,0.66,1.00,0.66,0.43,0.32,0.52,0.66,0.52,0.82,0.82",21,0.00,0.33,"Sitelinks, Video, People also ask, Related searches"
personality 9 types,Informational,57,140,"1.00,0.34,0.42,0.34,0.42,0.42,0.42,0.65,0.42,0.42,0.42,0.42",34,0.60,0.16,"AI Overview, Reviews, Image pack, Video, People also ask, Related searches"
personality archetypes test,Informational,39,140,"0.66,0.66,0.41,0.79,0.52,0.79,0.79,0.79,0.79,0.66,0.21,1.00",28,0.78,0.55,"Sitelinks, Image pack, Video, People also ask, Related searches"
personality intp,Informational,39,140,"1.00,0.62,0.46,0.77,0.62,0.46,0.46,0.46,0.46,0.38,0.46,0.38",34,0.14,0.04,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches, Things to know"
personality test 4 types,Informational,43,140,"1.00,0.28,0.42,0.42,0.42,0.28,0.14,0.42,0.28,0.33,0.33,0.53",26,0.61,0.44,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
personality test pdf myers briggs,Informational,33,140,"0.18,0.22,0.08,0.14,0.18,0.18,0.14,0.35,0.54,0.54,0.81,1.00",20,1.11,0.06,"Sitelinks, AI Overview, People also ask, Related searches"
personality test printable,Informational,32,140,"0.80,0.42,0.53,1.00,0.42,0.26,0.26,0.19,0.26,0.42,0.53,0.42",20,1.94,0.05,"Sitelinks, Image pack, Video, Related searches"
personality type 5,Informational,54,140,"0.21,0.21,0.43,0.43,0.43,0.28,1.00,0.34,0.80,0.21,0.21,0.34",31,0.68,0.05,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
personality type 9,Informational,54,140,"1.00,0.83,0.83,1.00,1.00,0.83,0.30,0.83,0.65,0.30,0.65,0.52",28,0.58,0.18,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
personality type engineer,Informational,37,140,"1.00,1.00,0.66,0.49,0.80,1.00,1.00,1.00,1.00,0.80,1.00,0.80",21,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
personality type mediator,Informational,42,140,"0.15,0.38,0.25,0.06,0.00,0.00,0.00,0.02,0.15,0.08,0.13,1.00",24,0.01,0.02,"Sitelinks, AI Overview, Reviews, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches"
personality types 4,Informational,48,140,"0.38,0.25,0.63,0.63,0.38,0.50,0.38,1.00,0.38,0.25,0.38,1.00",19,0.84,0.03,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
personality.com,"Informational, Transactional",36,140,"0.65,0.00,0.15,0.28,0.43,0.03,0.03,1.00,0.00,0.28,0.15,0.28",25,0.59,0.30,"Sitelinks, Video, People also ask"
printable enneagram test,Informational,56,140,"0.53,0.53,0.81,1.00,0.81,0.81,0.66,0.53,1.00,0.53,0.66,0.66",16,1.34,0.21,"Sitelinks, Reviews, Image pack, People also ask, Related searches"
questions mbti,Informational,39,140,"0.66,0.66,0.42,0.33,0.52,0.80,0.19,0.33,1.00,0.80,1.00,0.33",21,0.51,0.06,"Sitelinks, AI Overview, Reviews, Image pack, Video, People also ask, Discussions and forums, Related searches"
rare myers briggs type,Informational,43,140,"0.19,0.81,0.19,1.00,0.00,0.13,0.19,0.00,0.25,0.00,0.00,0.00",25,0.34,0.01,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Discussions and forums, Related searches"
rarest enneagram,Informational,52,140,"0.62,0.62,0.62,0.77,0.77,0.46,0.62,0.46,0.77,0.62,0.62,1.00",6,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, People also ask, Discussions and forums, Related searches"
rarest personality type male,Informational,58,140,"0.65,0.81,0.53,0.81,1.00,1.00,0.81,0.81,0.53,0.53,0.65,0.53",33,0.00,0.01,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Discussions and forums, Related searches"
revenue.ennead,Informational,52,140,"0.01,0.00,0.00,0.00,1.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01",27,0.00,0.33,"Sitelinks, Video"
reze mbti,Informational,45,140,"0.05,0.05,0.05,0.05,0.05,0.28,1.00,0.66,0.35,0.35,0.35,1.00",16,0.00,0.33,"Sitelinks, Image pack, Video, People also ask, Related searches"
riso hudson enneagram test,Informational,51,140,"0.65,1.00,0.83,0.83,0.65,0.65,0.83,0.65,0.83,0.83,0.83,0.83",32,1.14,0.50,"Sitelinks, Video, People also ask, Related searches"
s in mbti,Informational,36,140,"0.42,0.42,0.65,0.80,0.42,0.42,0.42,0.34,0.42,0.53,0.42,1.00",22,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches, Things to know"
s type personality,Informational,37,140,"0.33,0.33,0.67,0.67,0.67,0.81,0.81,0.67,0.81,0.81,1.00,0.81",22,0.38,0.06,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
self preservation 6,Informational,38,140,"0.52,0.52,0.66,0.66,0.52,0.66,0.52,0.66,0.66,0.80,1.00,1.00",11,0.00,0.33,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches"
self preservation 7,Informational,38,140,"0.41,0.41,0.41,0.41,0.52,0.41,1.00,0.14,0.41,0.66,0.41,0.66",10,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
sexual 4,Informational,30,140,"0.66,0.23,0.66,1.00,0.52,0.66,0.23,0.66,0.66,0.52,0.66,0.80",0,0.00,0.33,"Sitelinks, Image pack, Video, Video carousel, People also ask, Related searches"
sexual 9,Informational,34,140,"0.43,0.23,0.17,0.43,0.35,0.35,0.53,0.35,0.35,0.35,0.35,1.00",13,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
six enneagram,Informational,57,140,"0.40,0.50,1.00,0.65,0.50,0.50,0.40,0.30,0.30,0.40,0.40,0.30",25,0.00,0.01,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
so 1 enneagram,Informational,60,140,"0.11,0.18,0.11,0.11,0.11,0.15,0.15,0.15,0.23,0.28,1.00,0.54",10,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
so 9,Informational,32,140,"0.11,0.15,0.18,0.08,0.18,0.11,0.11,0.08,0.06,0.23,0.28,1.00",8,0.00,0.33,"Sitelinks, AI Overview, Reviews, Image pack, Video, Video carousel, People also ask, Related searches"
social 4 enneagram,Informational,49,140,"0.65,0.42,0.42,0.53,0.42,0.42,0.53,0.53,0.65,0.65,1.00,1.00",11,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
social 5,Informational,32,140,"1.00,0.65,0.82,0.82,1.00,1.00,1.00,0.65,0.82,0.82,1.00,1.00",14,10.69,0.03,"Sitelinks, AI Overview, Reviews, Image, Image pack, Video, Video carousel, People also ask, Related searches"
social 6,Informational,32,140,"0.82,0.82,0.82,0.82,0.82,0.82,0.65,0.65,0.82,1.00,1.00,1.00",7,0.95,0.02,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches"
social 7 enneagram,Informational,50,140,"0.66,0.52,0.66,0.66,0.52,0.52,0.66,0.66,0.66,0.66,1.00,0.80",9,0.00,0.33,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches"
social 9,Informational,35,140,"0.52,0.42,1.00,0.66,0.42,0.52,0.52,0.42,0.52,0.52,0.66,0.80",13,12.19,0.02,"Sitelinks, Image pack, Video, Video carousel, People also ask, Related searches"
strengths and weaknesses of entj,Informational,41,140,"0.81,0.81,0.66,0.53,0.43,0.81,0.19,0.33,1.00,0.66,1.00,0.33",18,0.00,0.33,"Sitelinks, AI Overview, Video, People also ask, Related searches"
susan stabile,Informational,28,140,"1.00,0.52,0.83,0.83,0.83,1.00,0.65,0.83,0.65,0.52,0.65,0.65",26,0.51,0.02,"Sitelinks, Image, Image pack, Video, Video carousel, Related searches"
suzanne stabile enneagram,Informational,43,140,"0.75,0.50,0.50,0.75,0.75,1.00,0.25,0.75,0.75,0.75,0.75,0.50",27,0.90,0.24,"Sitelinks, Reviews, Image, Image pack, Video, Video carousel, People also ask, Related searches"
sx2 enneagram,Informational,46,140,"0.08,0.10,0.13,0.10,0.08,0.13,0.13,0.16,0.24,0.30,1.00,1.00",7,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches"
the achiever enneagram,Informational,60,140,"0.51,0.66,0.80,1.00,1.00,0.66,0.51,0.51,0.66,0.51,0.66,0.51",18,0.38,0.04,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
the complete enneagram,Informational,59,140,"0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.79,0.66,1.00",21,0.57,1.00,"Sitelinks, Video, Video carousel, People also ask, Knowledge panel, Related searches"
the debater,Informational,33,140,"0.10,0.43,1.00,0.03,1.00,0.80,0.00,0.00,0.43,0.33,0.27,0.00",14,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches, Things to know"
the defender myers briggs,Informational,35,140,"0.67,1.00,0.81,1.00,0.67,0.81,0.67,0.81,0.67,0.33,0.51,0.67",24,0.00,0.02,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
the individualist,Informational,41,140,"0.50,0.38,0.50,0.81,0.81,1.00,0.63,0.81,1.00,0.63,0.81,0.81",14,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches"
the individualist enneagram,Informational,57,140,"0.66,0.52,0.66,1.00,0.80,0.66,0.52,0.33,0.42,0.33,0.52,0.66",16,0.33,0.06,"Sitelinks, AI Overview, Reviews, Video, People also ask, Discussions and forums"
the mediator mbti,Informational,36,140,"0.52,0.42,0.80,0.66,0.66,0.52,0.66,0.66,0.80,0.80,0.80,1.00",28,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches"
the most rarest personality type,Informational,58,140,"0.53,0.53,0.34,0.26,0.42,0.53,0.80,0.53,0.80,0.53,1.00,0.65",23,0.00,0.01,"Sitelinks, AI Overview, Image, Image pack, Video, Short videos, People also ask, Related searches"
the narrative enneagram,Navigational,55,140,"0.53,0.83,1.00,0.83,0.83,1.00,0.83,0.83,0.83,0.65,0.65,0.83",13,11.58,0.03,"Sitelinks, Video, Video carousel, People also ask, Related searches"
the road back to you enneagram book,Informational,56,140,"0.06,0.34,0.06,0.06,0.34,0.65,0.43,0.53,1.00,0.53,0.53,0.53",27,0.69,0.04,"Sitelinks, Reviews, Video, Video carousel, People also ask, Knowledge panel, Discussions and forums, Related searches, Popular products"
tritype test free,Informational,48,140,"0.53,0.53,0.66,0.66,0.66,0.43,0.43,0.53,0.66,0.66,1.00,0.66",16,0.30,0.44,"Sitelinks, Reviews, Video, People also ask, Related searches"
truity com personality test,Navigational,42,140,"0.04,0.04,0.22,0.22,1.00,0.22,0.18,0.29,0.54,0.14,0.14,0.10",29,0.50,0.18,"Sitelinks, Reviews, Video, People also ask, Discussions and forums, Related searches"
type 4 individualist,Informational,44,140,"0.53,0.53,0.43,0.66,0.33,1.00,0.33,0.33,0.24,0.33,0.33,0.19",17,2.80,0.03,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Things to know"
type 5 personality traits,Informational,52,140,"1.00,0.43,0.17,0.43,0.27,0.53,0.36,0.27,0.27,0.17,0.43,0.22",26,0.68,0.05,"AI Overview, Image pack, Video, Video carousel, People also ask, Discussions and forums, Related searches"
type 6 loyalist,Informational,47,140,"0.82,0.65,0.52,0.82,1.00,0.65,0.65,0.65,0.82,0.52,0.82,0.52",14,0.39,0.03,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
type 7 personality,Informational,54,140,"0.12,0.21,0.44,0.65,0.33,0.53,0.33,0.21,0.21,1.00,0.44,0.33",16,0.47,0.07,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Ads bottom, Ads middle"
type b personality test,Informational,38,140,"0.29,0.07,1.00,0.05,0.12,0.05,0.08,0.02,1.00,0.00,0.02,0.02",22,0.46,0.50,"Video, People also ask, Related searches"
type mediator,Informational,42,140,"1.00,0.66,0.42,0.33,0.52,0.80,0.80,0.66,0.80,0.66,0.66,0.80",28,0.00,0.01,"Reviews, Video, People also ask, Discussions and forums, Related searches"
type six personality,Informational,53,140,"0.66,0.53,0.43,1.00,0.81,0.66,0.53,0.53,0.81,0.53,0.81,0.66",29,0.25,0.01,"AI Overview, Image pack, Video, People also ask, Related searches"
type x personality,Informational,35,140,"0.42,0.53,0.53,1.00,0.42,0.42,0.34,0.53,0.42,0.34,0.42,0.65",9,0.00,0.33,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches"
types of disc,Informational,30,140,"0.24,0.10,0.10,0.07,0.10,0.04,0.10,0.10,0.10,1.00,0.13,0.13",27,0.00,0.01,"AI Overview, Reviews, Image pack, Video, Video carousel, People also ask, Related searches"
types of intp,Informational,39,140,"0.43,0.53,1.00,0.53,0.43,0.53,0.43,0.81,0.81,0.81,0.43,0.53",24,0.14,0.01,"Sitelinks, AI Overview, Video, People also ask, Related searches"
w 8 vs w 9,Commercial,46,140,"0.83,1.00,0.83,0.83,1.00,0.65,0.65,0.65,0.83,0.65,1.00,0.65",20,0.00,0.01,"Sitelinks, AI Overview, Reviews, Video, People also ask, Discussions and forums, Related searches"
weaknesses of infp,Informational,35,140,"0.02,0.23,0.35,0.35,0.35,0.00,0.43,0.35,0.35,0.35,1.00,0.43",10,0.02,0.01,"Sitelinks, AI Overview, Video, People also ask, Related searches"
what are different types,Informational,29,140,"0.80,1.00,0.26,0.34,0.80,0.53,0.34,0.26,0.26,0.42,0.80,0.80",29,0.00,0.33,"AI Overview, Reviews, Image pack, Video, People also ask, Related searches"
what do the mbti letters mean,Informational,41,140,"0.53,0.66,1.00,0.66,0.66,0.66,0.53,0.53,0.66,0.66,0.66,0.66",30,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
what do the myers briggs letters stand for,Informational,41,140,"0.42,0.33,0.42,0.80,0.80,0.66,0.66,0.66,0.80,0.80,0.80,1.00",30,0.00,0.01,"Sitelinks, AI Overview, Video, People also ask, Related searches"
what does each letter in mbti mean,Informational,40,140,"0.63,0.88,0.63,0.88,0.63,0.50,1.00,0.88,0.88,0.88,0.88,0.88",23,0.00,0.01,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
what intj,Informational,43,140,"0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.24,0.00,1.00,0.00,0.00",29,0.39,0.04,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches"
what is a type e personality,Informational,38,140,"0.64,0.64,0.82,0.64,0.82,0.64,0.82,0.82,1.00,0.64,1.00,1.00",3,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
what is an enfj personality,Informational,44,140,"0.18,0.10,0.22,0.22,0.18,0.18,0.18,0.18,1.00,0.18,0.22,0.22",34,0.35,0.06,"Sitelinks, AI Overview, Reviews, Image, Video, People also ask, Discussions and forums, Related searches"
what is an ennegram,Informational,70,140,"1.00,1.00,0.42,0.00,0.42,0.54,0.25,0.33,0.54,0.42,0.67,0.83",20,0.68,0.34,"AI Overview, Reviews, Video, Video carousel, People also ask, Related searches, Ads bottom"
what is enneagram 3,Informational,68,140,"0.65,0.53,0.83,1.00,0.83,1.00,0.83,0.65,1.00,0.83,1.00,0.83",15,0.63,0.07,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches"
what is enneagram 4,Informational,60,140,"0.52,0.52,0.66,0.52,0.66,0.52,0.80,0.66,0.80,0.66,1.00,1.00",21,0.37,0.10,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches, Ads bottom"
what is enneagram 7,Informational,59,140,"0.34,0.42,0.53,0.53,0.53,0.80,0.42,0.42,0.65,0.53,1.00,0.65",23,0.33,0.08,"AI Overview, Video, Video carousel, People also ask, Related searches"
what is enneagram 9,Informational,63,140,"0.65,0.65,0.65,0.83,0.83,0.83,0.83,0.65,1.00,0.65,1.00,0.83",24,0.24,0.10,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
what is entp personality type,Informational,44,140,"0.09,0.52,0.52,0.33,0.80,1.00,0.80,0.80,1.00,1.00,1.00,1.00",23,0.31,0.07,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches"
